Tempo (ms),(B) INTERCEPT_ORIG_TEMPO,(C) TVD (metros),(A) PSTM_COR
0,0.0,27.0,-715.8942871
4,0.0,30.0,-510.0637207
8,0.0,33.0000001,-320.8044434
12,0.0,36.0000001,-457.6181641
16,0.0,39.0000001,-444.7094727
20,0.0,42.0000002,-449.9980469
24,0.0,45.0000002,-499.317627
28,0.0,48.0000002,-489.8996582
32,0.0,51.0000002,-488.4299316
36,0.0,54.0000003,-473.171875
40,0.0,57.0000003,-412.5424805
44,0.0,60.0000003,-328.7116699
48,0.0,63.0000004,-208.2479095
52,0.0,65.9999969,-47.6739502
56,0.0,69.000002,150.3163147
60,0.0,71.9999994,380.1398926
64,0.0,74.9999968,616.3205566
68,0.0,78.0000019,840.1696777
72,0.0,80.9999993,1058.0979004
76,0.0,83.9999968,1263.5031738
80,0.0,87.0000017,1458.1147461
84,0.0,89.9999992,1676.3813477
88,0.0,92.9999971,1947.9853516
92,0.0,96.0000016,2275.0686035
96,0.0,98.999999,2604.4599609
100,0.0,101.9999974,2832.4033203
104,0.0,105.0000015,2849.3769531
108,0.0,107.9999989,2524.996582
112,0.0,110.9999977,1743.7766113
116,0.0,114.0000004,469.5593262
120,0.0,116.9999988,-1278.3564453
124,0.0,119.999998,-3460.6838379
128,-4e-07,123.0000007,-5969.5976563
132,-4.6e-06,125.9999987,-8633.7109375
136,-4.24e-05,128.9999983,-11200.796875
140,-0.000303,132.000001,-13190.1445313
144,-0.0016692,135.0000036,-13869.484375
148,-0.0070266,138.000001,-12364.0234375
152,-0.0222528,140.9999936,-7933.0351563
156,-0.0515389,143.9999963,-551.7075195
160,-0.0820385,146.9999989,8689.359375
164,-0.0735766,150.0000016,18020.90625
168,0.0090396,153.0000042,25506.2265625
172,0.1314528,155.9999999,29059.0703125
176,0.1921587,159.0135449,27342.125
180,0.1322112,162.0353567,20856.7773438
184,0.0101292,165.0607955,11767.9726563
188,-0.0726353,168.0898655,2497.2351074
192,-0.0814595,171.1225607,-5453.5742188
196,-0.0512718,174.1589016,-11232.890625
200,-0.0221583,177.1988916,-14279.6015625
204,-0.0070007,180.2425303,-14588.2578125
208,-0.0016636,183.2898141,-13326.3164063
212,-0.000302,186.3407561,-11950.7695313
216,-4.23e-05,189.3953673,-10505.8242188
220,-4.5e-06,192.4536347,-8385.78125
224,-4e-07,195.5155776,-5849.4335938
228,0.0,198.5812007,-3633.6796875
232,-1e-07,201.6505034,-2183.3059082
236,-1e-07,204.7234747,-1317.9545898
240,0.0,207.8001496,-479.4318848
244,0.0,210.8805086,493.2148438
248,1e-07,213.9645698,1621.5834961
252,0.0,217.0523333,2989.7492676
256,0.0,220.1438005,3439.2141113
260,0.0,223.2389735,1385.1889648
264,0.0,226.3378715,-2294.3046875
268,0.0,229.4404835,-4901.421875
272,0.0,232.5468149,-3720.1513672
276,0.0,235.6568824,2883.1259766
280,0.0,238.7706717,12170.6953125
284,0.0,241.8882115,17878.8710938
288,0.0,245.0094853,15381.8476563
292,0.0,248.1345056,4437.6914063
296,0.0,251.263276,-9267.1210938
300,0.0,254.3958029,-16271.4921875
304,0.0,257.5320966,-11966.8359375
308,0.0,260.672146,-2064.0844727
312,0.0,263.8159509,4616.0351563
316,0.0,266.9635511,5466.1523438
320,0.0,270.1149291,3335.2084961
324,0.0,273.2700896,2363.5036621
328,0.0,276.4290064,4660.53125
332,0.0,279.5917453,6840.9648438
336,0.0,282.7582803,2274.3435059
340,0.0,285.9286156,-10705.8046875
344,0.0,289.1027259,-23445.2734375
348,0.0,292.2806763,-22436.3203125
352,0.0,295.462441,-5448.6328125
356,0.0,298.6480103,12091.2460938
360,0.0,301.837401,14660.5742188
364,0.0,305.0306361,4384.6992188
368,0.0,308.2277038,-3538.8574219
372,0.0,311.4285782,-402.3723145
376,0.0,314.633325,5765.8476563
380,0.0,317.8419183,3279.0537109
384,0.0,321.0543476,-6963.8203125
388,1e-07,324.2706321,-11489.7265625
392,1e-07,327.4907924,-1232.7578125
396,1e-07,330.7147909,13784.9921875
400,0.0,333.9426821,18115.9179688
404,0.0,337.1744512,10706.0585938
408,-1e-07,340.410084,2886.4941406
412,-1e-07,343.6496002,2000.3242188
416,-1e-07,346.89302,1944.8684082
420,0.0,350.1403222,-3977.9570313
424,0.0,353.3915123,-13172.1914063
428,0.0,356.6466247,-18810.7265625
432,0.0,359.9056312,-13076.84375
436,0.0,363.1685444,3182.7219238
440,0.0,366.4353915,16007.9179688
444,0.0,369.7061375,15395.5546875
448,0.0,372.980823,7350.6054688
452,0.0,376.2594472,3969.3737793
456,0.0,379.5419761,4556.5234375
460,1e-07,382.8284753,-3032.4914551
464,0.0,386.1189061,-17777.3242188
468,0.0,389.4132817,-22886.7382813
472,0.0,392.7116288,-9960.5
476,0.0,396.0139042,10597.6328125
480,0.0,399.3201737,21709.203125
484,0.0,402.6303881,16575.3085938
488,-1e-07,405.9445918,1221.8776855
492,-1e-07,409.2627804,-16191.6640625
496,-1e-07,412.5849212,-26718.9296875
500,0.0,415.9110798,-19570.734375
504,1e-07,419.2412075,2851.300293
508,1e-07,422.5753479,21167.7617188
512,1e-07,425.9134809,21287.4179688
516,0.0,429.255623,9564.078125
520,0.0,432.6017905,1775.7768555
524,0.0,435.9519437,3335.9907227
528,0.0,439.3061484,4950.3320313
532,0.0,442.6643483,-1143.0546875
536,0.0,446.0266095,-7966.65625
540,0.0,449.3928876,-7166.921875
